"ID";"Onderwijssectoren";"Perioden";"TotaalUitgavenAanOnderwijs_1";"TotaalOverheid_2";"TotaalAanOnderwijsinstellingen_3";"LumpsumFinanciering_4";"Contractonderzoek_5";"Apparaatskosten_6";"TotaalSubsidieEnFiscaleRegelingen_7";"EducatiefDeelDagbestPeuterspeelz_8";"Leerlingenvervoer_9";"OnderwijsvoorzieningenJonggehandicapten_10";"TegemoetkomingSchoolkosten_11";"BegeleidingskostenLeerBedrijven_12";"StudiefinancieringGiften_13";"StudiefinancieringLeningen_14";"TotaalOntvangsten_15";"EUSubsidieregelingen_16";"TerugontvangenStudiefinancieringEn_17";"RenteOpStudieleningen_18";"AflossingenOpStudieleningen_19";"TotaalHuishoudens_20";"TotaalAanOnderwijsinstellingen_21";"LesEnCollegegeldBekostigdOnderwijs_22";"LesEnCollegegeldParticulOnderwijs_23";"OuderbijdragenEnSchoolactiviteiten_24";"TotaalOverigeUitgaven_25";"EducatiefDeelDagbestPeuterspeelz_26";"BoekenLeermiddelenOVEnBijles_27";"TeveelOntvangenStudiefinancieringEn_28";"RenteOpStudieleningen_29";"AflossingenOpStudieleningen_30";"TotaalOntvangenBijdragen_31";"KinderopvangtoeslagEducatiefDeel_32";"OnderwijsvoorzieningenJonggehandicapten_33";"TegemoetkomingSchoolkosten_34";"StudiebeurzenVanBedrijven_35";"StudiefinancieringVoorLesEnColl_36";"StudiefinancieringVoorLevensonderhoud_37";"StudiefinancieringLeningen_38";"TotaalBedrijven_39";"TotaalAanOnderwijsinstellingen_40";"BegeleidingDualeLeerlingenStagiairs_41";"LesEnCollegegeldParticulOnderwijs_42";"Contractonderzoek_43";"TotaalOverigeUitgaven_44";"KinderopvangtoeslagEducatiefDeel_45";"Studiebeurzen_46";"TotaalOntvangenSubsidies_47";"Leerlingenvervoer_48";"BegeleidingskostenLeerBedrijven_49";"TotaalBuitenland_50";"TotaalAanOnderwijsinstellingen_51";"InternationaleMiddelen_52";"Contractonderzoek_53";"EUSubsidieregelingen_54";"TotaalUitgavenAanOnderwijs_55";"InBbp_56";"PerHoofdVanDeBevolking_57";"TotaalOverheidsuitgavenAanOnderwijs_58";"InBbp_59";"InVanDeTotaleOverheidsuitgaven_60";"TotaalAanOnderwijsinstellingen_61";"TotaalInBbp_62";"Overheid_63";"HuishoudensBedrijvenBuitenland_64";"PerDeelnemerInclusiefRD_65";"PerDeelnemerExclusiefRD_66"
"127";"A048421";"2010JJ00";"17059";"13906";"12494";"   12194";"";"300";"1592";"";"      68";"       8";"100";"580";"837";"215";"180";"146";"13";"21";"34";"1470";"956";"203";"281";"473";"884";"";"850";"13";"21";"34";"370";"";"       8";"100";"0";"262";"575";"215";"1522";"2102";"1944";"158";"";"0";"";"0";"580";"68";"580";"161";"15";"15";"";"146";"   17059";"2.7";"1029";"14302";"2.2";"4.7";"15567";"     2.4";"2.0";"0.5";"    9977";"    9977"
"128";"A048421";"2011JJ00";"17035";"13850";"12430";"   12129";"";"302";"1699";"";"      69";"       9";"97";"643";"882";"187";"280";"220";"15";"44";"70";"1411";"921";"207";"274";"440";"866";"";"807";"15";"44";"70";"376";"";"       9";"97";"0";"271";"611";"187";"1540";"2184";"2033";"150";"";"0";"";"0";"643";"69";"643";"234";"14";"14";"";"220";"   17035";"2.6";"1023";"14317";"2.2";"4.7";"15549";"     2.4";"1.9";"0.5";"    9926";"    9926"
"129";"A048421";"2012JJ00";"17179";"14062";"12677";"   12378";"";"299";"1465";"";"      69";"       9";"93";"460";"835";"189";"80";"30";"4";"46";"74";"1361";"951";"222";"310";"419";"757";"";"706";"4";"46";"74";"347";"";"       9";"93";"0";"244";"590";"189";"1711";"2171";"1999";"172";"";"0";"";"0";"460";"69";"460";"45";"15";"15";"";"30";"   17179";"2.6";"1027";"14331";"2.2";"4.7";"15814";"     2.4";"1.9";"0.5";"   10026";"   10026"
"130";"A048421";"2013JJ00";"17580";"14549";"13170";"   12842";"";"328";"1451";"";"      69";"       9";"84";"411";"878";"240";"72";"0";"30";"42";"86";"1386";"940";"206";"304";"431";"815";"";"743";"30";"42";"86";"369";"";"       9";"84";"0";"276";"602";"240";"1631";"2043";"1873";"170";"";"0";"";"0";"411";"69";"411";"14";"14";"14";"";"0";"   17580";"2.7";"1048";"14862";"2.3";"4.8";"16166";"     2.4";"2.0";"0.5";"   10232";"   10232"
"131";"A048421";"2014JJ00";"17480";"14457";"12988";"   12665";"";"323";"1527";"";"      72";"       9";"82";"289";"1075";"254";"58";"0";"25";"32";"86";"1377";"965";"224";"316";"425";"802";"";"745";"25";"32";"86";"390";"";"       9";"82";"0";"299";"776";"254";"1633";"1922";"1746";"176";"";"0";"";"0";"289";"72";"289";"13";"13";"13";"";"0";"   17480";"2.6";"1039";"14769";"2.2";"4.8";"15888";"     2.4";"1.9";"0.4";"   10057";"   10057"
"132";"A048421";"2015JJ00";"17921";"14706";"13541";"   13255";"";"286";"1228";"";"      73";"       9";"72";"279";"795";"328";"63";"25";"20";"18";"62";"1477";"995";"259";"312";"424";"763";"";"725";"20";"18";"62";"281";"";"       9";"72";"0";"200";"595";"328";"1700";"1979";"1809";"170";"";"0";"";"0";"279";"73";"279";"38";"13";"13";"";"25";"   17921";"2.6";"1060";"15097";"2.2";"4.9";"16528";"     2.4";"2.0";"0.4";"   10468";"   10468"
"133";"A048421";"2016JJ00";"18055";"15336";"13847";"   13560";"";"287";"1545";"";"      76";"       9";"67";"268";"1125";"324";"56";"18";"20";"18";"86";"1117";"989";"249";"313";"427";"766";"";"728";"20";"18";"86";"638";"";"      10";"66";"0";"562";"563";"324";"1571";"1839";"1671";"168";"";"0";"";"0";"268";"76";"268";"31";"13";"13";"";"18";"   18055";"2.5";"1064";"15716";"2.2";"5.1";"16688";"     2.4";"2.0";"0.4";"   10537";"   10537"
"134";"A048421";"2017JJ00";"18637";"15062";"13976";"   13721";"";"255";"1143";"";"      77";"       9";"73";"269";"714";"362";"57";"18";"23";"16";"100";"1722";"1063";"242";"316";"505";"847";"";"808";"23";"16";"100";"188";"";"       9";"73";"0";"106";"609";"362";"1821";"2090";"1924";"166";"";"0";"";"0";"269";"77";"269";"33";"15";"15";"";"18";"   18637";"2.5";"1091";"15481";"2.1";"4.9";"17144";"     2.3";"1.9";"0.4";"   10812";"   10812"
"135";"A048421";"2018JJ00";"19562";"16167";"14485";"   14239";"";"247";"1735";"";"      82";"      10";"74";"280";"1289";"410";"53";"22";"17";"14";"107";"1279";"1082";"237";"287";"559";"955";"";"925";"17";"14";"107";"758";"";"      10";"74";"0";"674";"614";"410";"2081";"2361";"2219";"141";"";"0";"";"0";"280";"82";"280";"36";"14";"14";"";"22";"   19562";"2.5";"1139";"16630";"2.2";"5.1";"17942";"     2.3";"1.8";"0.4";"   11424";"   11424"
"136";"A048421";"2019JJ00";"20308";"16332";"14782";"   14511";"";"271";"1585";"";"      86";"      10";"70";"286";"1133";"484";"35";"0";"15";"20";"116";"1655";"1111";"246";"296";"569";"1000";"";"965";"15";"20";"116";"456";"";"      10";"70";"0";"376";"757";"484";"2306";"2592";"2448";"144";"";"0";"";"0";"286";"86";"286";"15";"15";"15";"";"0";"   20308";"2.5";"1175";"16851";"2.1";"4.9";"18500";"     2.3";"1.8";"0.5";"   11839";"   11839"
"137";"A048421";"2020JJ00";"20344";"16385";"15133";"   14864";"";"269";"1283";"";"      90";"       8";"63";"294";"829";"490";"31";"0";"12";"19";"191";"1648";"1033";"253";"309";"471";"972";"";"941";"12";"19";"191";"357";"";"       8";"63";"0";"286";"543";"490";"2295";"2589";"2440";"149";"";"0";"";"0";"294";"90";"294";"16";"16";"16";"";"0";"   20344";"2.6";"1169";"16907";"2.1";"4.4";"18771";"     2.3";"1.9";"0.5";"   12098";"   12098"
"138";"A048421";"2021JJ00";"22132";"18113";"16610";"   16325";"";"285";"1545";"";"      92";"       9";"59";"390";"995";"521";"42";"12";"11";"19";"236";"1796";"1034";"205";"318";"511";"1228";"";"1198";"11";"19";"236";"466";"";"       9";"59";"0";"398";"597";"521";"2194";"2584";"2432";"152";"";"0";"";"0";"390";"92";"390";"29";"17";"17";"";"12";"   22133";"2.5";"1267";"18676";"2.1";"4.7";"20245";"     2.3";"1.9";"0.4";"   13136";"   13136"
